,byVariable,estimate,outlet,ppgid,randomEffVariable,region
0,store32357.0,-0.7546401883700228,GR,115,(0 + logregprice) | store,US
1,store32357.0,0.5559492609739336,GR,115,(0 + logpriceindex) | store,US
2,store32357.0,0.0,GR,115,(0 + displayonly) | store,US
3,store32357.0,0.0,GR,115,(0 + featuredisplay) | store,US
4,store32357.0,0.0,GR,115,(0 + featureonly) | store,US
5,store32357.0,-0.017826803975362605,GR,115,(0 + logseason) | store,US
6,store89631.0,-0.17723670681961115,GR,115,(0 + logregprice) | store,US
7,store89631.0,0.4893736587175878,GR,115,(0 + logpriceindex) | store,US
8,store89631.0,0.0,GR,115,(0 + displayonly) | store,US
9,store89631.0,0.0,GR,115,(0 + featuredisplay) | store,US
10,store89631.0,-0.3816928444196597,GR,115,(0 + featureonly) | store,US
11,store89631.0,0.1675434424977911,GR,115,(0 + logseason) | store,US
12,store49440.0,-0.2336052289721591,GR,115,(0 + logregprice) | store,US
13,store49440.0,0.0,GR,115,(0 + logpriceindex) | store,US
14,store49440.0,0.0,GR,115,(0 + displayonly) | store,US
15,store49440.0,0.0,GR,115,(0 + featuredisplay) | store,US
16,store49440.0,0.0,GR,115,(0 + featureonly) | store,US
17,store49440.0,0.10013770402539507,GR,115,(0 + logseason) | store,US
18,store32307.0,-0.04013689351760257,GR,115,(0 + logregprice) | store,US
19,store32307.0,0.9896989844730698,GR,115,(0 + logpriceindex) | store,US
20,store32307.0,0.0,GR,115,(0 + displayonly) | store,US
21,store32307.0,0.0,GR,115,(0 + featuredisplay) | store,US
22,store32307.0,0.0,GR,115,(0 + featureonly) | store,US
23,store32307.0,0.06837921199821793,GR,115,(0 + logseason) | store,US
24,store197144.0,0.0,GR,115,(0 + logregprice) | store,US
25,store197144.0,0.0,GR,115,(0 + logpriceindex) | store,US
26,store197144.0,0.0,GR,115,(0 + displayonly) | store,US
27,store197144.0,0.0,GR,115,(0 + featuredisplay) | store,US
28,store197144.0,0.0,GR,115,(0 + featureonly) | store,US
29,store197144.0,-0.011917719802546228,GR,115,(0 + logseason) | store,US
30,store84615.0,1.6295679284192628,GR,115,(0 + logregprice) | store,US
31,store84615.0,0.07805280149169141,GR,115,(0 + logpriceindex) | store,US
32,store84615.0,0.0,GR,115,(0 + displayonly) | store,US
33,store84615.0,0.0,GR,115,(0 + featuredisplay) | store,US
34,store84615.0,0.4961470136815723,GR,115,(0 + featureonly) | store,US
35,store84615.0,0.16420574361729917,GR,115,(0 + logseason) | store,US
36,store197128.0,0.2919584908053105,GR,115,(0 + logregprice) | store,US
37,store197128.0,0.2539938941988124,GR,115,(0 + logpriceindex) | store,US
38,store197128.0,-0.01836672582031004,GR,115,(0 + displayonly) | store,US
39,store197128.0,0.0,GR,115,(0 + featuredisplay) | store,US
40,store197128.0,-0.24341579778417793,GR,115,(0 + featureonly) | store,US
41,store197128.0,-0.016538643422205852,GR,115,(0 + logseason) | store,US
42,store42674.0,0.0,GR,115,(0 + logregprice) | store,US
43,store42674.0,-0.050442492146497646,GR,115,(0 + logpriceindex) | store,US
44,store42674.0,0.0,GR,115,(0 + displayonly) | store,US
45,store42674.0,0.0,GR,115,(0 + featuredisplay) | store,US
46,store42674.0,0.0,GR,115,(0 + featureonly) | store,US
47,store42674.0,-0.01370870726814498,GR,115,(0 + logseason) | store,US
48,store46016.0,0.10954756398186209,GR,115,(0 + logregprice) | store,US
49,store46016.0,-0.44904779618849816,GR,115,(0 + logpriceindex) | store,US
50,store46016.0,0.0,GR,115,(0 + displayonly) | store,US
51,store46016.0,0.0,GR,115,(0 + featuredisplay) | store,US
52,store46016.0,0.0,GR,115,(0 + featureonly) | store,US
53,store46016.0,0.007643202329583675,GR,115,(0 + logseason) | store,US
54,store49444.0,-0.8614418542939447,GR,115,(0 + logregprice) | store,US
55,store49444.0,0.0,GR,115,(0 + logpriceindex) | store,US
56,store49444.0,0.0,GR,115,(0 + displayonly) | store,US
57,store49444.0,0.0,GR,115,(0 + featuredisplay) | store,US
58,store49444.0,0.0,GR,115,(0 + featureonly) | store,US
59,store49444.0,0.07051879924694718,GR,115,(0 + logseason) | store,US
60,store46673.0,-0.07425180314125744,GR,115,(0 + logregprice) | store,US
61,store46673.0,-0.38060698735263976,GR,115,(0 + logpriceindex) | store,US
62,store46673.0,-0.007693163403513193,GR,115,(0 + displayonly) | store,US
63,store46673.0,0.0,GR,115,(0 + featuredisplay) | store,US
64,store46673.0,0.12123639584952388,GR,115,(0 + featureonly) | store,US
65,store46673.0,-0.03918484469373676,GR,115,(0 + logseason) | store,US
66,store82248.0,0.0,GR,115,(0 + logregprice) | store,US
67,store82248.0,0.5374853693192729,GR,115,(0 + logpriceindex) | store,US
68,store82248.0,0.0,GR,115,(0 + displayonly) | store,US
69,store82248.0,0.0,GR,115,(0 + featuredisplay) | store,US
70,store82248.0,0.0,GR,115,(0 + featureonly) | store,US
71,store82248.0,0.003020036726748698,GR,115,(0 + logseason) | store,US
72,store102038.0,0.0,GR,115,(0 + logregprice) | store,US
73,store102038.0,-0.17955903982436974,GR,115,(0 + logpriceindex) | store,US
74,store102038.0,0.0,GR,115,(0 + displayonly) | store,US
75,store102038.0,0.0,GR,115,(0 + featuredisplay) | store,US
76,store102038.0,0.19640278595340252,GR,115,(0 + featureonly) | store,US
77,store102038.0,-0.011668609371882752,GR,115,(0 + logseason) | store,US
78,store42828.0,0.0,GR,115,(0 + logregprice) | store,US
79,store42828.0,0.0,GR,115,(0 + logpriceindex) | store,US
80,store42828.0,0.0,GR,115,(0 + displayonly) | store,US
81,store42828.0,0.0,GR,115,(0 + featuredisplay) | store,US
82,store42828.0,0.0,GR,115,(0 + featureonly) | store,US
83,store42828.0,-0.00011104295261248913,GR,115,(0 + logseason) | store,US
84,store82143.0,0.0,GR,115,(0 + logregprice) | store,US
85,store82143.0,0.07280826665690385,GR,115,(0 + logpriceindex) | store,US
86,store82143.0,0.0,GR,115,(0 + displayonly) | store,US
87,store82143.0,0.0,GR,115,(0 + featuredisplay) | store,US
88,store82143.0,0.0,GR,115,(0 + featureonly) | store,US
89,store82143.0,-0.021110265851123175,GR,115,(0 + logseason) | store,US
90,store72553.0,0.0,GR,115,(0 + logregprice) | store,US
91,store72553.0,-0.017998475481043438,GR,115,(0 + logpriceindex) | store,US
92,store72553.0,0.0,GR,115,(0 + displayonly) | store,US
93,store72553.0,0.0,GR,115,(0 + featuredisplay) | store,US
94,store72553.0,0.0,GR,115,(0 + featureonly) | store,US
95,store72553.0,-0.06791628685917124,GR,115,(0 + logseason) | store,US
96,store74038.0,0.0,GR,115,(0 + logregprice) | store,US
97,store74038.0,0.13583203153977258,GR,115,(0 + logpriceindex) | store,US
98,store74038.0,0.0,GR,115,(0 + displayonly) | store,US
99,store74038.0,0.0,GR,115,(0 + featuredisplay) | store,US
100,store74038.0,-0.17260330548200206,GR,115,(0 + featureonly) | store,US
101,store74038.0,-0.04870967824775349,GR,115,(0 + logseason) | store,US
102,store46549.0,0.637669191520902,GR,115,(0 + logregprice) | store,US
103,store46549.0,0.6609738877369197,GR,115,(0 + logpriceindex) | store,US
104,store46549.0,-0.05937461321028562,GR,115,(0 + displayonly) | store,US
105,store46549.0,0.0,GR,115,(0 + featuredisplay) | store,US
106,store46549.0,0.0,GR,115,(0 + featureonly) | store,US
107,store46549.0,-0.1019546198234013,GR,115,(0 + logseason) | store,US
108,store102055.0,0.0,GR,115,(0 + logregprice) | store,US
109,store102055.0,-0.3103754691834533,GR,115,(0 + logpriceindex) | store,US
110,store102055.0,0.0,GR,115,(0 + displayonly) | store,US
111,store102055.0,0.0,GR,115,(0 + featuredisplay) | store,US
112,store102055.0,0.04081005485585763,GR,115,(0 + featureonly) | store,US
113,store102055.0,-0.0018279461773467911,GR,115,(0 + logseason) | store,US
114,store61407.0,0.0,GR,115,(0 + logregprice) | store,US
115,store61407.0,0.0,GR,115,(0 + logpriceindex) | store,US
116,store61407.0,0.0,GR,115,(0 + displayonly) | store,US
117,store61407.0,0.0,GR,115,(0 + featuredisplay) | store,US
118,store61407.0,0.0,GR,115,(0 + featureonly) | store,US
119,store61407.0,-0.0013218257302507947,GR,115,(0 + logseason) | store,US
120,store48082.0,-1.5366468353028007,GR,115,(0 + logregprice) | store,US
121,store48082.0,-1.9367348921822447,GR,115,(0 + logpriceindex) | store,US
122,store48082.0,0.0,GR,115,(0 + displayonly) | store,US
123,store48082.0,0.0,GR,115,(0 + featuredisplay) | store,US
124,store48082.0,-0.0011261311289425251,GR,115,(0 + featureonly) | store,US
125,store48082.0,0.060203886768491956,GR,115,(0 + logseason) | store,US
126,store84611.0,0.0,GR,115,(0 + logregprice) | store,US
127,store84611.0,0.18219883925151226,GR,115,(0 + logpriceindex) | store,US
128,store84611.0,0.0,GR,115,(0 + displayonly) | store,US
129,store84611.0,0.0,GR,115,(0 + featuredisplay) | store,US
130,store84611.0,-0.21267805912519958,GR,115,(0 + featureonly) | store,US
131,store84611.0,-0.005612825854416741,GR,115,(0 + logseason) | store,US
132,store86228.0,0.0,GR,115,(0 + logregprice) | store,US
133,store86228.0,-0.8473149388532096,GR,115,(0 + logpriceindex) | store,US
134,store86228.0,0.0,GR,115,(0 + displayonly) | store,US
135,store86228.0,0.0,GR,115,(0 + featuredisplay) | store,US
136,store86228.0,0.17456824174052218,GR,115,(0 + featureonly) | store,US
137,store86228.0,-0.08664991278408178,GR,115,(0 + logseason) | store,US
138,store32374.0,0.21384150389074855,GR,115,(0 + logregprice) | store,US
139,store32374.0,1.0996456129612324,GR,115,(0 + logpriceindex) | store,US
140,store32374.0,0.0,GR,115,(0 + displayonly) | store,US
141,store32374.0,0.0,GR,115,(0 + featuredisplay) | store,US
142,store32374.0,0.0,GR,115,(0 + featureonly) | store,US
143,store32374.0,0.03845864059498291,GR,115,(0 + logseason) | store,US
144,store72506.0,0.5913208502116207,GR,115,(0 + logregprice) | store,US
145,store72506.0,0.41643386682091904,GR,115,(0 + logpriceindex) | store,US
146,store72506.0,0.0,GR,115,(0 + displayonly) | store,US
147,store72506.0,0.0,GR,115,(0 + featuredisplay) | store,US
148,store72506.0,0.0,GR,115,(0 + featureonly) | store,US
149,store72506.0,0.010273579089847787,GR,115,(0 + logseason) | store,US
150,store48094.0,1.0332971357984237,GR,115,(0 + logregprice) | store,US
151,store48094.0,1.1510560492496325,GR,115,(0 + logpriceindex) | store,US
152,store48094.0,-0.005270839150604925,GR,115,(0 + displayonly) | store,US
153,store48094.0,0.0,GR,115,(0 + featuredisplay) | store,US
154,store48094.0,0.3150032419714398,GR,115,(0 + featureonly) | store,US
155,store48094.0,-0.032331294891466945,GR,115,(0 + logseason) | store,US
156,store78341.0,0.4722932813060866,GR,115,(0 + logregprice) | store,US
157,store78341.0,0.2213246044540221,GR,115,(0 + logpriceindex) | store,US
