Effect,Estimate,StdErr,DF,tValue,Probt
Intercept,-178E-17,0.007756,63,-0.00,1.0000
LogRegPrice,-0.3859,0.4870,4368,-0.79,0.4282
LogPriceIndex,-2.2365,0.2496,4368,-8.96,<.0001
DisplayOnly,0.7328,0.1765,4368,4.15,<.0001
FeatureDisplay,1.2497,0.5254,4368,2.38,0.0174
FeatureOnly,0.1047,0.05970,4368,1.75,0.0796
LogSeason,0.3132,0.1542,4368,2.03,0.0423
AbsPrice263,-0.8801,1.0350,4368,-0.85,0.3952
Lift263,-0.07356,0.03957,4368,-1.86,0.0631
AbsPrice258,0.7824,1.0933,4368,0.72,0.4743
Lift258,-0.00863,0.03738,4368,-0.23,0.8174
AbsPrice259,1.4642,0.9144,4368,1.60,0.1094
Lift259,-0.01758,0.04248,4368,-0.41,0.6791
AbsPrice254,0.5505,0.8401,4368,0.66,0.5124
Lift254,-0.02564,0.04377,4368,-0.59,0.5580
AbsPrice261,0.6291,0.4602,4368,1.37,0.1717
Lift261,0.03423,0.04063,4368,0.84,0.3996
AbsPrice265,0.2143,0.7543,4368,0.28,0.7763
Lift265,-0.02254,0.07347,4368,-0.31,0.7590
AbsPrice248,-0.00663,0.4902,4368,-0.01,0.9892
Lift248,-0.04984,0.02403,4368,-2.07,0.0381
AbsPrice260,-0.5579,0.5473,4368,-1.02,0.3081
Lift260,0.02334,0.05199,4368,0.45,0.6534
AbsPrice266,-0.08485,1.0484,4368,-0.08,0.9355
Lift266,-0.3993,0.3688,4368,-1.08,0.2790
AbsPrice255,-0.3367,0.4242,4368,-0.79,0.4274
Lift255,0.03258,0.03737,4368,0.87,0.3833
AbsPrice276,-1.0606,0.5306,4368,-2.00,0.0457
Lift276,-0.08900,0.03955,4368,-2.25,0.0245
AbsPrice289,0.3571,0.5068,4368,0.70,0.4811
Lift289,-0.04500,0.03021,4368,-1.49,0.1365
AbsPrice271,-0.4297,0.8966,4368,-0.48,0.6318
Lift271,0.02403,0.03836,4368,0.63,0.5310
AbsPrice228,0.6597,0.4641,4368,1.42,0.1552
Lift228,-0.04547,0.03719,4368,-1.22,0.2216
AbsPrice242,0.6896,0.7399,4368,0.93,0.3514
Lift242,0.05516,0.02819,4368,1.96,0.0504
AbsPrice236,0.8143,0.4838,4368,1.68,0.0924
Lift236,0.02588,0.03788,4368,0.68,0.4945
AbsPrice279,1.2673,1.0043,4368,1.26,0.2071
Lift279,-0.01364,0.02656,4368,-0.51,0.6077
AbsPrice282,0.3273,0.4962,4368,0.66,0.5095
Lift282,0.03946,0.07342,4368,0.54,0.5910
AbsPrice239,0.4827,0.7522,4368,0.64,0.5211
Lift239,-0.1997,0.06170,4368,-3.24,0.0012
AbsPrice272,-1.1340,1.1487,4368,-0.99,0.3236
Lift272,-0.09784,0.03123,4368,-3.13,0.0017
AbsPrice311,0.1347,0.4374,4368,0.31,0.7582
Lift311,0.009560,0.02614,4368,0.37,0.7146
AbsPrice10,0.5222,0.4619,4368,1.13,0.2583
Lift10,-0.01575,0.02748,4368,-0.57,0.5665
Lift189,-0.06554,0.04321,4368,-1.52,0.1294
AbsPrice293,0.5978,0.2621,4368,2.28,0.0226
Lift293,-0.01352,0.02593,4368,-0.52,0.6020
AbsPrice115,-0.1237,0.4327,4368,-0.29,0.7750
Lift115,0.3429,1.5018,4368,0.23,0.8194
AbsPrice20,-0.4658,1.0161,4368,-0.46,0.6467
Lift20,-0.06673,0.06146,4368,-1.09,0.2776
AbsPrice33,0.3072,0.3016,4368,1.02,0.3084
Lift33,0.07616,0.2858,4368,0.27,0.7899
AbsPrice298,0.1114,0.2580,4368,0.43,0.6660
Lift298,-0.00806,0.01531,4368,-0.53,0.5985
AbsPrice12,-0.00663,0.2745,4368,-0.02,0.9807
Lift12,-0.05765,0.02232,4368,-2.58,0.0098
Lift45,-0.06542,0.03103,4368,-2.11,0.0351
