Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
LogRegPrice,33710,147,0,,,,
LogPriceIndex,33710,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,33710,147,0,0.2677,4838,0.00,1.0000
LogSeason,33710,147,-0.00570,0.1125,4838,-0.05,0.9596
LogRegPrice,33731,147,0,,,,
LogPriceIndex,33731,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,33731,147,0,0.2677,4838,0.00,1.0000
LogSeason,33731,147,0,0.1128,4838,0.00,1.0000
LogRegPrice,33734,147,0,,,,
LogPriceIndex,33734,147,-1.3094,0.6647,4838,-1.97,0.0489
DisplayOnly,33734,147,0,0.2677,4838,0.00,1.0000
LogSeason,33734,147,0.02351,0.1120,4838,0.21,0.8337
LogRegPrice,33754,147,0,,,,
LogPriceIndex,33754,147,-1.1704,0.8469,4838,-1.38,0.1671
DisplayOnly,33754,147,0,0.2677,4838,0.00,1.0000
LogSeason,33754,147,-0.00758,0.1126,4838,-0.07,0.9463
LogRegPrice,33758,147,0,,,,
LogPriceIndex,33758,147,0.1536,0.6682,4838,0.23,0.8183
DisplayOnly,33758,147,0,0.2677,4838,0.00,1.0000
LogSeason,33758,147,-0.00302,0.1123,4838,-0.03,0.9785
LogRegPrice,33773,147,0,,,,
LogPriceIndex,33773,147,0.001692,0.5823,4838,0.00,0.9977
DisplayOnly,33773,147,-0.03407,0.2419,4838,-0.14,0.8880
LogSeason,33773,147,-0.01537,0.1123,4838,-0.14,0.8911
LogRegPrice,33804,147,0,,,,
LogPriceIndex,33804,147,0.6891,0.6743,4838,1.02,0.3068
DisplayOnly,33804,147,0,0.2677,4838,0.00,1.0000
LogSeason,33804,147,0.005782,0.1121,4838,0.05,0.9589
LogRegPrice,33811,147,0,,,,
LogPriceIndex,33811,147,-0.2193,0.6643,4838,-0.33,0.7413
DisplayOnly,33811,147,0.07761,0.2481,4838,0.31,0.7544
