"dol_per_trip_pos_p1","LOG_dol_per_trip_pre_p1","cpn_un_pre_p1","cpn_un_per_trip_dpp_p1","cpn_trps_shr_dpp_p1","ap_trps_shr_dpp_p1"
11.38,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.656666666666666,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.49,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,2.6905648867611904,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
4.49,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
4.49,0.0,0.0,0.0,0.0,0.0
5.19,0.0,0.0,0.0,0.0,0.0
5.44,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
5.34,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.0
16.49,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.49,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
4.49,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
5.406666666666666,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
5.49,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0
16.656666666666666,0.0,0.0,0.0,0.0,0.0
10.49,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
33.98,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.49,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.5
16.49,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
10.24,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.5
16.99,2.771963526845863,0.0,0.0,0.0,0.0
16.49,2.771963526845863,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
5.19,1.790091412127358,1.0,1.0,1.0,1.0
4.99,0.0,0.0,0.0,0.0,0.0
5.44,0.0,0.0,0.0,0.0,0.0
5.495,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,-1.0
4.99,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
15.99,2.771963526845863,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
4.49,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,0.0
4.49,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,-0.6666666666666666
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,2.771963526845863,0.0,0.0,0.0,1.0
16.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.49,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,-1.0
5.19,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
5.69,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
5.495,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
4.99,0.0,0.0,0.0,0.0,0.0
10.739999999999998,0.0,0.0,0.0,0.0,0.0
16.49,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,2.771963526845863,0.0,0.0,0.0,-1.0
15.99,0.0,0.0,0.0,0.0,0.0
16.99,2.6905648867611904,0.0,0.0,0.0,0.5
16.99,0.0,0.0,0.0,0.0,0.0
16.99,0.0,0.0,0.0,0.0,0.0
