"trps_pos_p1","un_per_trip_pre_p6","cpn_dol_pre_p9","dol_per_trip_pre_p9","group","trps_pre_p1"
1,0.0,0.0,0.0,0,0
2,0.0,0.0,13.99,0,0
3,0.0,0.0,12.49,0,0
1,0.0,0.0,14.99,0,0
3,0.0,0.0,0.0,0,0
2,0.0,0.0,14.99,0,1
1,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,1,0
1,0.0,0.0,14.49,0,0
1,0.0,0.0,13.99,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,14.99,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,13.74,0,2
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,2.49,2.8012499999999996,0,0
1,0.0,56.300000000000004,5.060769230769231,0,0
2,0.0,0.0,5.69,0,0
1,0.0,0.0,11.14,0,0
2,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,11.99,0,0
2,0.0,18.98,10.665,0,0
1,0.0,28.870000000000005,28.870000000000005,0,0
1,0.0,0.0,0.0,0,0
1,0.0,30.96,12.725000000000001,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,14.99,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,14.99,0,1
2,0.0,0.0,12.99,1,0
1,0.0,0.0,16.99,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,13.99,0,0
1,0.0,0.0,19.115,0,0
1,1.0,0.0,0.0,0,0
1,0.0,0.0,13.99,0,0
1,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0,0
1,0.0,0.0,13.99,1,0
1,0.0,0.0,3.4887500000000005,0,0
1,0.0,0.0,25.98,0,1
1,0.0,0.0,14.99,0,1
1,0.0,0.0,0.0,1,0
1,0.0,11.99,5.8933333333333335,0,0
1,0.0,7.98,7.98,0,0
1,0.0,0.0,0.0,0,0
6,0.0,10.68,7.656666666666667,0,0
2,0.0,0.0,5.99,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,39.96,8.408333333333333,0,0
3,0.0,0.0,0.0,0,0
1,0.0,0.0,7.99,0,0
1,0.0,0.0,0.0,0,0
2,0.0,0.0,13.99,0,0
1,0.0,0.0,17.49,0,1
1,0.0,0.0,0.0,0,0
1,0.0,0.0,13.99,0,0
1,1.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0,0
2,0.0,0.0,14.99,0,1
2,0.0,0.0,14.99,1,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,14.99,0,0
3,0.0,0.0,0.0,1,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,1,0
2,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,1,0
1,0.0,0.0,0.0,1,0
2,0.0,0.0,14.323333333333332,0,1
1,0.0,0.0,14.656666666666666,0,1
2,0.0,0.0,14.99,1,2
